Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1204   Time range: 09-Oct-2022 00:00:00.000 - 29-Jun-2023 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 221215_1204 15-Dec-2022 12:04:11 12:05:29 12:15:10    0.886     129.6813353566  n5 n4 n2 n1
 221215_1241 15-Dec-2022 12:41:06 12:43:25 12:52:58    2.198     250.4011220196  n5 n3 n1 n0
 221215_1338 15-Dec-2022 13:38:47 13:38:59 13:40:13    0.448      90.3023255814  n5 n4 n2 n3
 221215_1420 15-Dec-2022 14:20:42 14:22:28 14:30:44    3.229     257.9036544850  n5 n1 n3 n0
 221215_1522 15-Dec-2022 15:22:49 15:30:08 15:32:43    1.255     242.1161616162  n5 n3 n1 n0
 221215_1559 15-Dec-2022 15:59:50 15:59:54 16:12:18    3.470     658.3863636364  n5 n3 n1 n4
 221215_1649 15-Dec-2022 16:49:03 16:53:29 17:15:24   23.592    1399.7577482606  n5 n4 n2 n3
 221215_2001 15-Dec-2022 20:01:47 20:05:12 20:37:58    2.304     278.5946568402  n5 n4 n1 n3
 221215_2138 15-Dec-2022 21:38:49 21:39:22 21:40:40    1.121     194.3603603604  n5 n4 n2 n1
 221215_2153 15-Dec-2022 21:53:50 22:14:19 22:18:37   11.056     484.8043039677  n5 n3 n1 n0
 221215_2231 15-Dec-2022 22:31:53 22:32:13 22:32:42   27.929    6228.4081632653  n5 n4 n2 n3
 221215_2309 15-Dec-2022 23:09:29 23:28:12 23:29:01    1.017     173.4637062340  n5 n1 n3 n0
 221215_2342 15-Dec-2022 23:42:40 23:48:08 23:51:29    1.607     290.7613636364  n5 n1 n3 n0
 221216_0111 16-Dec-2022 01:11:33 01:13:57 01:22:53    1.056     220.1882352941  n3 n1 n0 n5
 221216_0133 16-Dec-2022 01:33:24 01:39:20 01:43:02   15.859    5049.1539792388  n5 n4 n2 n3
 221216_0219 16-Dec-2022 02:19:41 02:23:51 03:05:21    5.413     317.3299270073  n5 n4 n2 n3
 221216_0403 16-Dec-2022 04:03:56 04:07:21 04:15:53    1.753     249.7433751743  n5 n3 n1 n0
 221216_0419 16-Dec-2022 04:19:38 04:20:43 04:25:06    1.497     279.1524390244  n3 n1 n0 n5
 221216_0449 16-Dec-2022 04:49:12 04:53:01 04:53:13    2.201     356.1694214876  n5 n4 n2 n3
 221216_0529 16-Dec-2022 05:29:53 05:41:45 06:24:17   10.339     546.0787136294  n5 n1 n3 n4
 221216_0715 16-Dec-2022 07:15:33 07:36:06 07:54:32   32.824    1213.8884138521  n3 n1 n0 n5
 221216_0859 16-Dec-2022 08:59:32 09:03:34 09:38:27   28.707     952.4278372591  n5 n1 n3 n0
 221216_1015 16-Dec-2022 10:15:15 10:17:18 10:23:17  108.410   40492.5020746888  n5 n4 n2 n1
 221216_1046 16-Dec-2022 10:46:03 11:04:00 11:09:40    5.002     247.3182780522  n5 n3 n1 n4
 221216_1150 16-Dec-2022 11:50:53 11:51:13 11:51:58    0.390      78.6969696970  n5 n4 n2 n3
 221216_1325 16-Dec-2022 13:25:29 13:25:57 13:33:07    4.504     368.7973856209  n5 n4 n2 n1
 221216_1500 16-Dec-2022 15:00:34 15:15:43 15:18:43    2.411     192.2880733945  n5 n1 n3 n0
 221216_1545 16-Dec-2022 15:45:13 15:45:17 15:48:38    0.786     155.7219512195  n5 n1 n3 n0
 221216_1635 16-Dec-2022 16:35:57 16:43:52 17:01:20    2.535     305.2795275591  n5 n3 n1 n4
 221216_1831 16-Dec-2022 18:31:19 18:32:08 18:38:21    3.610     311.4549763033  n5 n1 n3 n0
 221216_1904 16-Dec-2022 19:04:37 19:06:05 19:09:15   26.784    6649.6726618705  n5 n4 n2 n1
 221216_2002 16-Dec-2022 20:02:05 20:05:42 20:11:22    1.566     266.5116696589  n5 n3 n1 n0
 221216_2136 16-Dec-2022 21:36:09 21:37:09 21:40:45    6.928    1123.6340579710  n5 n1 n3 n0
 221216_2157 16-Dec-2022 21:57:32 21:58:01 21:58:59    4.207    1204.8505747126  n5 n1 n3 n0
 221216_2216 16-Dec-2022 22:16:12 22:18:19 22:19:20    3.989     598.4255319149  n5 n4 n2 n1
 221216_2303 16-Dec-2022 23:03:47 23:14:34 23:52:43    7.240     332.8348655090  n5 n3 n1 n0
 221217_0052 17-Dec-2022 00:52:48 01:06:52 01:17:14    5.485     487.0566166439  n5 n1 n3 n0
 221217_0121 17-Dec-2022 01:21:20 01:22:17 01:26:31    5.186     223.7845659164  n5 n4 n1 n3
 221217_0223 17-Dec-2022 02:23:36 02:25:39 02:27:50    4.354     392.4173228346  n5 n3 n1 n0
 221217_0358 17-Dec-2022 03:58:25 03:58:58 03:59:23    2.522     359.4035087719  n5 n1 n3 n0
 221217_0431 17-Dec-2022 04:31:44 04:32:09 04:34:28    1.510     178.0426829268  n5 n1 n3 n4
 221217_0549 17-Dec-2022 05:49:21 05:50:18 05:54:20    4.703    1219.0000000000  n3 n1 n0 n5
 221217_1630 17-Dec-2022 16:30:20 16:45:58 16:47:16    1.411     278.1082677165  n5 n1 n3 n0
 221217_1943 17-Dec-2022 19:43:15 19:49:47 20:05:39    9.410    2179.4918154762  n5 n1 n3 n0
 221217_2141 17-Dec-2022 21:41:50 21:41:58 21:42:27    3.775     471.1621621622  n3 n1 n0 n5
 221218_2312 18-Dec-2022 23:12:15 23:12:23 23:13:08    1.718     301.1509433962  n5 n3 n1 n0
 221219_0219 19-Dec-2022 02:19:39 02:20:03 02:23:24    2.133     263.5066666667  n5 n3 n1 n0
 221219_0336 19-Dec-2022 03:36:43 03:38:21 03:43:33    1.403     277.2439024390  n5 n1 n3 n0
 221219_1143 19-Dec-2022 11:43:16 11:44:30 12:00:29    2.150     265.5639534884  n3 n1 n0 n5
 221219_1422 19-Dec-2022 14:22:22 14:26:28 14:36:38    7.416     561.9474299065  n5 n4 n2 n1
 221219_2055 19-Dec-2022 20:55:23 20:56:21 20:59:25   11.188     618.5330578512  n5 n3 n1 n0
 221219_2351 19-Dec-2022 23:51:19 00:14:03 00:17:12    1.139     188.6907216495  n3 n1 n5 n0
 221220_0525 20-Dec-2022 05:25:34 05:32:27 05:35:03    1.874     259.5237258348  n5 n4 n2 n1
 221220_1407 20-Dec-2022 14:07:16 14:07:25 14:14:26    1.564     143.5837209302  n5 n4 n2 n3
 221220_2100 20-Dec-2022 21:00:15 21:00:51 21:04:08    2.578     331.7768240343  n1 n3 n5 n0
 221221_0013 21-Dec-2022 00:13:43 00:14:44 00:16:47    2.879     365.8695652174  n5 n1 n3 n0
 221221_0516 21-Dec-2022 05:16:54 05:17:55 05:21:16   13.982     835.3473282443  n5 n4 n2 n3
 221221_0602 21-Dec-2022 06:02:09 06:14:43 06:40:43    4.424     429.8314606742  n5 n1 n3 n0
 221221_2041 21-Dec-2022 20:41:09 20:44:42 21:02:56    9.316     383.1874521806  n3 n1 n5 n0
 221221_2210 21-Dec-2022 22:10:31 22:15:22 22:41:47    5.481     509.2216302611  n1 n3 n0 n5
 221223_0129 23-Dec-2022 01:29:35 01:30:12 01:32:07    7.856     466.5723684211  n5 n3 n1 n0
 221223_0433 23-Dec-2022 04:33:51 04:34:32 04:38:47   12.959    3127.3750000000  n5 n3 n1 n0
 221223_1047 23-Dec-2022 10:47:28 10:48:13 10:53:37    3.630     449.2547425474  n3 n5 n1 n0
 221223_1515 23-Dec-2022 15:15:33 15:22:06 15:22:09   28.423    9092.3207070707  n1 n3 n5 n0
 221223_2330 23-Dec-2022 23:30:33 23:32:20 23:38:04    2.818     387.6895787140  n5 n3 n1 n0
 221224_0409 24-Dec-2022 04:09:37 04:10:55 04:17:44   15.346    2984.0041067762  n1 n3 n0 n5
 221225_0658 25-Dec-2022 06:58:12 06:58:59 07:00:43   17.502    7547.6622516556  n5 n3 n1 n0
 221225_1837 25-Dec-2022 18:37:05 18:37:13 18:37:46    1.042     196.4390243902  n5 n1 n3 n4
 221226_0027 26-Dec-2022 00:27:02 00:36:02 00:41:26    1.188     241.1643518519  n0 n1 n3 n5
 221226_0217 26-Dec-2022 02:17:05 02:17:50 02:19:32    1.282     286.6530612245  n5 n3 n1 n0
