Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1201   Time range: 06-Jul-2012 00:00:00.000 - 13-Jan-2014 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 120713_0032 13-Jul-2012 00:32:56 00:33:36 00:35:20    9.906    2663.0625000000  n3 n1 n0 n5
 120713_0036 13-Jul-2012 00:36:20 00:36:36 00:36:50    3.162    2051.1000000000  n3 n1 n0 n5
 120714_0451 14-Jul-2012 04:51:50 04:54:55 05:01:57   74.057   16177.1990131579  n5 n3 n1 n4
 120714_1030 14-Jul-2012 10:30:27 10:32:22 10:32:46   10.982    1664.4532374101  n5 n4 n2 n1
 120715_2357 15-Jul-2012 23:57:28 23:57:57 23:58:50    2.646     431.5975609756  n5 n1 n3 n4
 120716_0454 16-Jul-2012 04:54:55 04:54:59 04:58:12    2.902     496.5431472081  n3 n1 n0 n5
 120716_1925 16-Jul-2012 19:25:25 19:30:20 19:31:34    4.916     943.9132791328  n5 n1 n3 n0
 120717_1538 17-Jul-2012 15:38:35 15:57:29 16:07:36    1.265     245.2320505457  n0 n3 n1 n5
 120717_1630 17-Jul-2012 16:30:04 16:32:35 16:33:12    2.846     508.0851063830  n5 n4 n2 n3
 120717_1709 17-Jul-2012 17:09:31 17:42:46 17:45:05    6.260    1016.4161199625  n5 n1 n3 n0
 120717_1844 17-Jul-2012 18:44:59 18:55:01 19:23:21    1.833     341.7119895743  n5 n3 n1 n0
 120718_0259 18-Jul-2012 02:59:46 03:03:07 03:10:00    2.260     428.7182410423  n5 n1 n3 n4
 120718_2206 18-Jul-2012 22:06:29 22:08:16 22:21:22   10.755    1488.9652855543  n5 n1 n3 n4
 120719_0451 19-Jul-2012 04:51:20 04:54:41 04:56:39    3.057     488.8714733542  n5 n1 n3 n4
 120719_0504 19-Jul-2012 05:04:51 05:09:05 05:10:14    3.774     561.3117283951  n5 n4 n2 n1
 120719_0546 19-Jul-2012 05:46:13 05:52:18 06:45:49  215.053   18747.7013422819  n5 n4 n2 n1
 120719_0721 19-Jul-2012 07:21:43 07:24:52 08:15:23    2.557     482.8217391304  n5 n3 n1 n4
 120719_0905 19-Jul-2012 09:05:58 09:20:06 09:32:44    1.030     187.2995018680  n0 n3 n1 n6
 120727_0400 27-Jul-2012 04:00:48 04:01:33 04:03:11    2.339     415.6363636364  n5 n4 n2 n1
 120728_2048 28-Jul-2012 20:48:02 20:55:12 21:12:07  188.458   59979.5764705882  n5 n4 n2 n1
 120729_0314 29-Jul-2012 03:14:53 03:15:18 03:15:51    4.381     701.0000000000  n5 n4 n2 n1
 120729_0617 29-Jul-2012 06:17:51 06:20:22 06:46:35   55.556    2223.0574245940  n5 n4 n2 n1
 120729_1506 29-Jul-2012 15:06:32 15:06:49 15:08:04   13.753    6698.9347826087  n5 n3 n1 n0
 120730_0608 30-Jul-2012 06:08:51 06:10:17 06:12:24    2.578     394.2769953052  n5 n4 n2 n1
 120730_0616 30-Jul-2012 06:16:05 06:16:38 06:19:18    2.899     280.4663212435  n3 n1 n0 n5
 120730_1402 30-Jul-2012 14:02:51 14:03:04 14:05:53   59.887   10781.2307692308  n5 n3 n1 n4
 120730_1542 30-Jul-2012 15:42:08 15:45:57 15:53:24   66.091    3937.8091715976  n5 n1 n3 n4
 120730_2355 30-Jul-2012 23:55:47 23:58:47 00:00:42    2.070     364.7186440678  n5 n4 n2 n1
