Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1232   Time range: 14-Nov-2014 00:00:00.000 - 01-Jun-2017 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 150326_0008 26-Mar-2015 00:08:54 00:11:58 00:22:54    6.586     486.3202380952  n5 n1 n3 n0
 150328_1605 28-Mar-2015 16:05:26 16:05:55 16:07:13    1.220     166.5000000000  n5 n4 n2 n1
 150330_1535 30-Mar-2015 15:35:52 15:36:25 15:38:40    2.686     330.7976190476  n5 n4 n2 n1
 150330_2147 30-Mar-2015 21:47:08 21:48:17 21:53:49    2.043     328.1620947631  n5 n1 n3 n0
 150330_2207 30-Mar-2015 22:07:18 22:07:26 22:07:55    0.187      41.1621621622  n5 n1 n3 n0
 150406_1845  6-Apr-2015 18:45:22 18:48:50 18:52:07    1.694     261.4975369458  n5 n1 n3 n4
 150406_1905  6-Apr-2015 19:05:21 19:05:29 19:06:43    4.219     350.9878048780  n5 n1 n3 n4
 150409_0726  9-Apr-2015 07:26:15 07:26:52 07:27:53    7.416     616.7346938776  n5 n1 n3 n4
 150409_1715  9-Apr-2015 17:15:56 17:16:57 17:18:19    9.076    1022.9720279720  n5 n4 n2 n1
 150410_1922 10-Apr-2015 19:22:35 19:23:24 19:25:02    6.956     432.1224489796  n5 n4 n2 n1
 150411_0230 11-Apr-2015 02:30:57 02:33:25 02:39:50   11.122    1162.1541353383  n5 n3 n1 n4
 150412_0026 12-Apr-2015 00:26:34 00:28:19 00:31:37    4.431    1338.0330033003  n0 n3 n1 n5
 150412_0812 12-Apr-2015 08:12:57 08:14:36 08:24:13   11.664     826.2352071006  n5 n1 n3 n0
 150412_0946 12-Apr-2015 09:46:22 09:46:30 10:25:45    7.427     616.3584426576  n3 n1 n5 n0
 150412_1442 12-Apr-2015 14:42:37 14:45:37 14:46:51    1.490     241.4606299213  n5 n1 n3 n0
 150412_1800 12-Apr-2015 18:00:06 18:03:27 18:09:52   37.956    2298.9317406143  n5 n1 n3 n0
 150412_1917 12-Apr-2015 19:17:27 19:18:20 19:20:02    4.224     380.2948717949  n3 n1 n5 n0
 150412_1935 12-Apr-2015 19:35:12 19:36:17 19:39:50   10.242     779.9677419355  n3 n1 n0 n5
 150412_2217 12-Apr-2015 22:17:16 22:18:17 22:20:35    2.112     301.8542713568  n5 n3 n1 n4
 150413_0637 13-Apr-2015 06:37:36 06:38:21 06:39:59    6.282     488.2937062937  n5 n1 n3 n0
 150413_0823 13-Apr-2015 08:23:47 08:26:31 08:30:45   18.260    1085.0071770335  n5 n3 n1 n0
